K	2764
R	2752
D	2526
S	2215
M	1965
P	1881
B	1544
L	1225
F	1222
HH	1153
T	1146
P R	1046
W	780
N	716
V	615
G	537
JH	524
S T	521
T R	515
K R	387
SH	379
G R	331
CH	329
B R	319
S P	313
F L	290
K L	285
S K	278
Y	268
F R	254
P L	238
B L	213
S L	213
D R	211
K W	201
S T R	183
TH	173
S W	153
G L	131
HH W	111
S N	109
S K R	93
Z	83
S M	82
TH R	73
S K W	69
T W	55
S P R	51
SH R	40
S P L	27
DH	19
D W	17
G W	11
TH W	4
S K L	1
K B	0
K NG CH	0
JH Y	0
L NG	0
S ZH	0
G S	0
P N	0
F S	0
Z Y	0
V N	0
F V	0
DH N	0
V HH	0
G Y	0
T F JH	0
TH ZH G	0
HH D TH	0
TH L	0
G P	0
Z M Y	0
T K Y	0
SH G	0
D Y	0
R R B	0
JH M	0
W G	0
R D	0
NG S	0
JH P	0
F D	0
ZH JH	0
SH L	0
W Y	0
F F	0
B F	0
R Z	0
G Z	0
NG ZH	0
N M	0
K N HH	0
K N	0
NG Y	0
D V D	0
N DH	0
K CH	0
NG V	0
N V	0
Y V	0
Z G	0
P B	0
JH F	0
W NG	0
S Z Y	0
TH Y	0
V W	0
TH G	0
R G Z	0
W F	0
L M	0
M L	0
S SH	0
R TH	0
P Z	0
W D	0
R S	0
DH Y	0
Y L	0
Y SH	0
D N	0
D G HH	0
ZH	0
JH CH	0
P L NG	0
P P	0
T Y CH	0
T HH	0
W P	0
HH NG	0
P G S	0
M NG	0
R SH	0
V SH	0
T K	0
R W	0
SH D	0
N ZH CH	0
CH S	0
T V	0
P K	0
F DH	0
SH SH M	0
R HH	0
P W	0
Y ZH Y	0
T N	0
T ZH	0
TH T	0
SH Y N	0
W Y JH	0
L ZH	0
W M S	0
T CH	0
JH ZH	0
SH S	0
N CH	0
SH NG	0
F ZH	0
P S	0
NG	0
F SH	0
N JH	0
HH N	0
F M	0
Z R Y	0
F P	0
Z M	0
D K	0
N HH	0
R Y	0
R ZH	0
SH TH	0
M B ZH	0
ZH Z	0
D F W	0
CH JH	0
CH G L	0
NG JH	0
ZH L	0
ZH CH Y	0
ZH B	0
ZH K	0
SH B	0
W S	0
K T	0
R NG	0
TH NG	0
ZH TH	0
TH P	0
JH TH	0
B G DH	0
P JH	0
Z ZH	0
SH Y	0
S DH	0
N Z	0
N W	0
TH ZH N	0
V R N	0
Y JH	0
G V	0
L L	0
L B B	0
NG B Z	0
R M	0
ZH N	0
Z V	0
NG L	0
K SH	0
HH HH	0
ZH S	0
Y S	0
JH NG	0
DH P R	0
S G S	0
SH CH	0
R L	0
D HH	0
K HH TH	0
D G NG	0
G G	0
W K	0
ZH G	0
L Z	0
M G	0
ZH L Y	0
G TH	0
DH Z	0
N ZH	0
W ZH	0
CH N	0
SH W	0
Y F	0
HH ZH NG	0
ZH DH	0
Y Y	0
CH L	0
NG CH	0
DH S	0
S JH	0
D B	0
ZH JH M	0
ZH Z M	0
DH TH	0
Y NG	0
S R	0
M SH	0
DH L	0
ZH P S	0
W R	0
Z F	0
L G	0
B P	0
G ZH	0
T B K	0
SH N	0
N DH T	0
CH T	0
M T	0
L S	0
L W	0
K DH	0
P W F	0
N S	0
JH M R	0
DH DH	0
B W	0
D L	0
K JH	0
M M	0
ZH D	0
V S	0
ZH DH JH	0
M S	0
D HH L	0
JH S	0
F G	0
B T	0
CH G	0
K G V	0
T ZH CH	0
G CH	0
Y R Z	0
B Z	0
F V DH	0
DH F	0
CH F	0
TH M	0
TH K	0
TH DH	0
SH HH	0
HH S	0
M Y	0
L F	0
NG G	0
K CH B	0
G T	0
ZH W	0
NG Z	0
JH JH	0
T DH Z	0
CH CH D	0
DH B G	0
R JH V	0
F Y	0
D CH D	0
Z NG	0
V M	0
Y R	0
TH D	0
